country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,224733,238921,169580,111340,109364,171400,182761,263120,350735,399236,380067,508401,577233,497376,506539,363711,308756,241315
Australia,281417,323649,285870,306876,365611,337510,316414,270000,283348,285590,188158,205334,189503,178480,185427,145607,159872,149000
Austria,123586,115979,131098,132768,118650,227244,230505,248059,199969,125836,56620,86183,130343,123602,148320,136000,109000,90000
Belgium,917513,912233,1058656,936903,791703,857119,895788,881929,789674,680131,524595,528996,560779,507204,449600,481637,369172,354003
Brazil,1107751,1351998,1501586,1520285,1505139,1862780,2009494,2092029,2391354,2545729,2575418,2828273,2519389,2623704,2742309,2314789,2018954,1778464
Canada,1626316,1550500,1274853,1369042,1340175,1335516,1356198,1389536,1342133,1195436,822267,968860,990482,1040298,965191,913533,888565,802057
China,565366,604677,703521,1101696,2018875,2480231,3078153,5233132,6381116,6737745,10383831,13897083,14485326,15523658,18085213,19919795,21079427,24420744
Czech Rep.,348482,428224,456927,441312,436279,443065,599472,848922,925060,934046,976435,1069518,1191968,1171774,1128473,1246506,1298236,1344182
Egypt,45416,39616,37006,27422,32581,34591,48034,59462,68934,72485,60249,92249,53072,36880,25650,17830,12000,10930
Finland,33903,38468,41916,41068,19226,10051,21233,32417,24000,17519,10907,6385,2540,2900,3330,45000,69000,55280
France,2784469,2879810,3181549,3292797,3220329,3227416,3112961,2723196,2550869,2145935,1819497,1924171,1931030,1682814,1460000,1495000,1553800,1626000
Germany,5309524,5131918,5301189,5123238,5145403,5192101,5350187,5398508,5709139,5532030,4964523,5552409,5871918,5388456,5439904,5604026,5707938,5746808
Hungary,125889,134029,140401,138239,122338,118590,148533,187633,287982,342359,212773,165000,211218,215440,220000,224630,491720,472000
India,533149,517957,654557,703948,907968,1178354,1264000,1473000,1713479,1846051,2175220,2814584,3040144,3285496,3138988,3158215,3378063,3677605
Indonesia,76715,257058,32237,193492,203196,262752,233492,256285,309208,431423,352172,496524,562250,743501,925111,1011260,824445,968101
Iran,119419,274985,316334,439116,516930,707773,725000,800000,882000,940870,1170503,1367014,1412803,871997,630639,925975,884866,1074000
Italy,1410459,1422284,1271780,1125769,1026454,833578,725528,892502,910860,659221,661100,573169,485606,396817,388465,401317,663139,713182
Japan,8100169,8359434,8117563,8618354,8478328,8720385,9016735,9756515,9944637,9928143,6862161,8307382,7158525,8554219,8189323,8277070,7830722,7873886
Malaysia,237998,280283,344686,380000,324911,364852,405000,377952,347971,484512,447002,522568,488441,509621,540200,547150,558324,469720
Mexico,993772,1279089,1000715,960097,774048,903313,989840,1097619,1209097,1217458,942876,1390163,1657080,1810007,1771987,1915709,1968054,1993168
Netherlands,262242,215085,189261,182368,163080,187600,115121,87332,61912,59223,50620,48025,40772,28000,0,0,41870,42150
Others,86849,127445,121532,119255,144607,226533,299266,376110,420770,59223,50620,48025,367138,463990,474188,554845,693817,781708
Poland,546843,481689,335996,287534,306847,523000,540000,632300,695000,842000,818800,785000,741000,540000,475000,473000,534700,554600
Portugal,186996,178509,177357,182573,165576,150781,137602,143478,134047,132242,101680,114563,141779,115735,109698,117744,115468,99200
Romania,88313,64181,56774,65266,75706,98997,174538,201663,234103,231056,279320,323587,310243,326556,410959,391422,387171,358861
Russia,943732,969235,1021682,980061,1010436,1110079,1068145,1177918,1288652,1469429,599265,1208362,1744097,1968789,1919636,1683677,1214849,1124774
Serbia,3816,11091,7489,10271,12996,13266,12574,9832,8236,9818,16337,17384,10227,10227,10100,9980,82400,79360
Slovakia,126503,181333,181644,225442,281160,223542,218349,295391,571071,575776,461340,556941,639763,900000,975000,993000,1000001,1040000
Slovenia,118132,122949,116082,126661,110597,116609,138393,115000,174209,180233,202570,201039,168955,126836,89395,118533,133092,133702
South Africa,214694,230577,270538,276499,291249,300963,324875,334482,276018,321124,222981,295394,312265,274873,265257,277491,341025,335539
South Korea,2361735,2602008,2471444,2651273,2767716,3122600,3357094,3489136,3723482,3450478,3158417,3866206,4221617,4167089,4122604,4124116,4135108,3859991
Spain,2281617,2366359,2211172,2266902,2399374,2402501,2098168,2078639,2195780,1943049,1812688,1913513,1839068,1539680,1719700,1898342,2218980,2354117
Sweden,213895,259959,251035,237975,280394,290383,288659,288583,316850,252287,128738,177084,188969,162814,161080,154173,188987,205374
Taiwan,266000,263013,195109,231506,264837,299639,323819,211306,212685,138714,183986,251490,288523,278043,291037,332629,298418,251096
Thailand,63538,97129,156066,169321,251691,299439,277603,298819,315444,401309,313442,554387,537987,945100,1122780,742678,772250,805033
Turkey,222041,297476,175343,204198,294116,447152,453663,545682,634883,621567,510931,603394,639734,576660,633604,733439,791027,950888
UK,1786624,1641452,1492365,1629934,1657558,1647246,1596296,1442085,1534567,1446619,999460,1270444,1343810,1464906,1509762,25941,1587677,1722698
Ukraine,10136,18124,24995,50393,103000,179098,196722,274860,380061,400799,65646,75261,97585,69687,45758,1528148,5654,4340
USA,5637949,5542217,4879119,5018777,4510469,4229625,4321272,4366220,3924268,3776641,2195588,2731105,2976991,4105853,4346958,4253098,4163679,3934357
Uzbekistan,44433,32273,32425,22705,39196,66896,87512,100000,170000,195038,110200,130400,146300,144980,133740,245660,185400,88152
