"country","year","pcProduction","cvProduction","totalProduction"
"Argentina","1999",224733,80076,304809
"Australia","1999",281417,21508,302925
"Austria","1999",123586,15745,139331
"Belgium","1999",917513,99548,1017061
"Brazil","1999",1107751,243077,1350828
"Canada","1999",1626316,1432497,3058813
"China","1999",565366,1264587,1829953
"Czech Rep.","1999",348482,27779,376261
"Egypt","1999",45416,30632,76048
"Finland","1999",33903,472,34375
"France","1999",2784469,395724,3180193
"Germany","1999",5309524,378168,5687692
"Hungary","1999",125889,2297,128186
"India","1999",533149,285044,818193
"Indonesia","1999",76715,12292,89007
"Iran","1999",119419,0,119419
"Italy","1999",1410459,290797,1701256
"Japan","1999",8100169,1795307,9895476
"Malaysia","1999",237998,16092,254090
"Mexico","1999",993772,556153,1549925
"Netherlands","1999",262242,44978,307220
"Others","1999",86849,32801,119650
"Poland","1999",546843,27991,574834
"Portugal","1999",186996,65294,252290
"Romania","1999",88313,18584,106897
"Russia","1999",943732,225976,1169708
"Serbia","1999",3816,1453,5269
"Slovakia","1999",126503,328,126831
"Slovenia","1999",118132,0,118132
"South Africa","1999",214694,102673,317367
"South Korea","1999",2361735,481379,2843114
"Spain","1999",2281617,570772,2852389
"Sweden","1999",213895,36847,250742
"Taiwan","1999",266000,87000,353000
"Thailand","1999",63538,259223,322761
"Turkey","1999",222041,75821,297862
"UK","1999",1786624,186895,1973519
"Ukraine","1999",10136,9044,19180
"USA","1999",5637949,7387029,13024978
"Uzbekistan","1999",44433,0,44433
"Argentina","2000",238921,100711,339632
"Australia","2000",323649,23473,347122
"Austria","2000",115979,25047,141026
"Belgium","2000",912233,121061,1033294
"Brazil","2000",1351998,329519,1681517
"Canada","2000",1550500,1411136,2961636
"China","2000",604677,1464392,2069069
"Czech Rep.","2000",428224,27268,455492
"Egypt","2000",39616,20149,59765
"Finland","2000",38468,458,38926
"France","2000",2879810,468551,3348361
"Germany","2000",5131918,394697,5526615
"Hungary","2000",134029,3369,137398
"India","2000",517957,283403,801360
"Indonesia","2000",257058,35652,292710
"Iran","2000",274985,3000,277985
"Italy","2000",1422284,316031,1738315
"Japan","2000",8359434,1781362,10140796
"Malaysia","2000",280283,2547,282830
"Mexico","2000",1279089,656438,1935527
"Netherlands","2000",215085,52234,267319
"Others","2000",127445,63204,190649
"Poland","2000",481689,23283,504972
"Portugal","2000",178509,68215,246724
"Romania","2000",64181,13984,78165
"Russia","2000",969235,236346,1205581
"Serbia","2000",11091,1649,12740
"Slovakia","2000",181333,450,181783
"Slovenia","2000",122949,0,122949
"South Africa","2000",230577,126787,357364
"South Korea","2000",2602008,512990,3114998
"Spain","2000",2366359,666515,3032874
"Sweden","2000",259959,41384,301343
"Taiwan","2000",263013,109600,372613
"Thailand","2000",97129,314592,411721
"Turkey","2000",297476,133471,430947
"UK","2000",1641452,172442,1813894
"Ukraine","2000",18124,13131,31255
"USA","2000",5542217,7257640,12799857
"Uzbekistan","2000",32273,0,32273
"Argentina","2001",169580,65978,235558
"Australia","2001",285870,33505,319375
"Austria","2001",131098,24305,155403
"Belgium","2001",1058656,128601,1187257
"Brazil","2001",1501586,315651,1817237
"Canada","2001",1274853,1257889,2532742
"China","2001",703521,1630919,2334440
"Czech Rep.","2001",456927,8341,465268
"Egypt","2001",37006,19091,56097
"Finland","2001",41916,404,42320
"France","2001",3181549,446869,3628418
"Germany","2001",5301189,390488,5691677
"Hungary","2001",140401,3912,144313
"India","2001",654557,160054,814611
"Indonesia","2001",32237,246950,279187
"Iran","2001",316334,6882,323216
"Italy","2001",1271780,307916,1579696
"Japan","2001",8117563,1659628,9777191
"Malaysia","2001",344686,14099,358785
"Mexico","2001",1000715,840293,1841008
"Netherlands","2001",189261,49682,238943
"Others","2001",121532,52617,174149
"Poland","2001",335996,11879,347875
"Portugal","2001",177357,62362,239719
"Romania","2001",56774,11987,68761
"Russia","2001",1021682,229000,1250682
"Serbia","2001",7489,1490,8979
"Slovakia","2001",181644,359,182003
"Slovenia","2001",116082,0,116082
"South Africa","2001",270538,136498,407036
"South Korea","2001",2471444,474885,2946329
"Spain","2001",2211172,638716,2849888
"Sweden","2001",251035,38112,289147
"Taiwan","2001",195109,76595,271704
"Thailand","2001",156066,303352,459418
"Turkey","2001",175343,95342,270685
"UK","2001",1492365,192873,1685238
"Ukraine","2001",24995,6829,31824
"USA","2001",4879119,6545570,11424689
"Uzbekistan","2001",32425,8580,41005
"Argentina","2002",111340,48061,159401
"Australia","2002",306876,36996,343872
"Austria","2002",132768,19851,152619
"Belgium","2002",936903,120286,1057189
"Brazil","2002",1520285,271245,1791530
"Canada","2002",1369042,1260395,2629437
"China","2002",1101696,2185108,3286804
"Czech Rep.","2002",441312,5776,447088
"Egypt","2002",27422,17751,45173
"Finland","2002",41068,393,41461
"France","2002",3292797,309073,3601870
"Germany","2002",5123238,346071,5469309
"Hungary","2002",138239,3274,141513
"India","2002",703948,190848,894796
"Indonesia","2002",193492,105765,299257
"Iran","2002",439116,12959,452075
"Italy","2002",1125769,301312,1427081
"Japan","2002",8618354,1638961,10257315
"Malaysia","2002",380000,15380,395380
"Mexico","2002",960097,844573,1804670
"Netherlands","2002",182368,48923,231291
"Others","2002",119255,49106,168361
"Poland","2002",287534,23598,311132
"Portugal","2002",182573,68259,250832
"Romania","2002",65266,14190,79456
"Russia","2002",980061,239689,1219750
"Serbia","2002",10271,1701,11972
