country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,304809,339632,235558,159401,169176,260402,319755,432101,544647,597086,512924,716540,828771,764495,791007,617329,533683,472776
Australia,302925,347122,319375,343872,413261,411406,394713,330900,334617,329556,227283,243495,224193,209730,215926,180311,173009,161294
Austria,139331,141026,155403,152619,139656,248718,253279,274932,228066,151277,72334,104814,152505,142662,171220,154340,125500,108000
Belgium,1017061,1033294,1187257,1057189,909383,900273,926528,918056,834403,724498,537354,338290,595084,541874,480164,516832,409340,399427
Brazil,1350828,1681517,1817237,1791530,1827791,2317227,2530840,2611034,2977150,3215976,3182923,3648358,3407861,3342617,3740418,3146118,2429463,2156356
Canada,3058813,2961636,2532742,2629437,2552862,2711536,2687892,2572292,2578790,2082241,1490482,2071026,2135121,2463732,2379806,2393890,2283474,2370271
China,1829953,2069069,2334440,3286804,4443686,5234496,5708421,7188708,8882456,9299180,13790994,18264667,18418876,19271808,22116825,23722890,24503326,28118794
Czech Rep.,376261,455492,465268,447088,441699,448360,602237,854907,938648,946567,983243,1076385,1199845,1178938,1132931,1251220,1303603,1349896
Egypt,76048,59765,56097,45173,50012,49335,64549,91518,104473,114782,92339,69060,81731,56480,39050,27020,36000,36230
Finland,34375,38926,42320,41461,19658,10510,21644,32770,24303,17895,10971,6500,2631,2900,3330,45035,69053,55280
France,3180193,3348361,3628418,3601870,3620066,3665990,3549008,3169219,3015854,2568978,2047693,2227742,2242928,1967765,1740000,1817000,1970000,2082000
Germany,5687692,5526615,5691677,5469309,5506629,5569954,5757710,5819614,6213460,6045730,5209857,5905985,6311103,5649269,5718222,5907548,6033164,6062562
Hungary,128186,137398,144313,141513,126116,122666,152015,190823,292027,346055,214543,167890,213531,217840,222400,227030,495370,472000
India,818193,801360,814611,894796,1161523,1511157,1638674,2019808,2253729,2332328,2641550,3536783,3927411,4145194,3880938,3840160,4125744,4488965
Indonesia,89007,292710,279187,299257,322044,408311,500710,297062,411638,600628,464816,704715,838388,1065557,1208211,1298523,1098780,1177389
Iran,119419,277985,323216,452075,582099,788658,817200,904500,997240,1051430,1394075,1599454,1649311,1013561,743680,1090846,982337,1164710
Italy,1701256,1738315,1579696,1427081,1321631,1142105,1038352,1211594,1284312,1023774,843239,857359,790348,671768,658207,697864,1014223,1103516
Japan,9895476,10140796,9777191,10257315,10286218,10511518,10799659,11484233,11596327,11575644,7934057,9625940,8398630,9942711,9630070,9774558,9278238,9204590
Malaysia,254090,282830,358785,395380,344284,471975,563408,502973,441661,530810,489269,567715,533695,569620,596170,596600,614671,513445
Mexico,1549925,1935527,1841008,1804670,1575447,1577159,1684238,2045518,2095245,2167944,1561052,2345124,2681050,3001974,3052395,3365306,3565469,3597462
Netherlands,307220,267319,238943,231291,215281,247503,180748,159454,138568,132494,76751,94106,73151,50862,0,29807,44122,44430
Others,119650,190649,174149,168361,211753,311050,519802,531606,702789,132494,76751,94106,495147,594457,602138,662085,832683,920162
Poland,574834,504972,347875,311132,322061,601000,613200,714600,792703,945959,878998,869376,838133,647803,583258,593904,660603,681837
Portugal,252290,246724,239719,250832,239361,226728,221060,227325,176242,175155,126015,158723,192242,163561,154016,161509,156626,143096
Romania,106897,78165,68761,79456,95247,122185,194802,213597,241712,245308,296498,350912,335232,337765,410997,391422,387177,359306
Russia,1169708,1205581,1250682,1219750,1278792,1386127,1354504,1508358,1660120,1790301,725012,1403244,1990155,2231737,2175311,1886646,1384399,1303989
Serbia,5269,12740,8979,11972,13903,15194,14179,11182,9903,11628,16738,6470,11023,11032,10905,10675,83630,80320
Slovakia,126831,181783,182003,225718,281347,223542,218349,295391,571071,575776,461340,556941,639763,900000,975000,993000,1000001,1040000
Slovenia,118132,122949,116082,126661,118199,131646,177951,150320,198402,197843,212749,205711,174119,130949,93734,118591,133092,133702
South Africa,317367,357364,407036,404441,421335,455702,525227,587719,534490,562965,373923,472049,532545,539424,545913,566083,615658,599004
South Korea,2843114,3114998,2946329,3147584,3177870,3469464,3699350,3840102,4086308,3826682,3512926,4271941,4657094,4561766,4521429,4524932,4555957,4228509
Spain,2852389,3032874,2849888,2855239,3029826,3012174,2752500,2777435,2889703,2541644,2170078,2387900,2373329,1979179,2163338,2402978,2733201,2885922
Sweden,250742,301343,289147,276193,323032,340270,339229,333168,366020,308299,156436,217084,188969,162814,161080,154173,188987,205374
Taiwan,353000,372613,271704,333699,386686,430814,446345,303221,283039,182974,226356,303456,343296,339038,338720,379223,351085,309531
Thailand,322761,411721,459418,584951,742062,927981,1122712,1194426,1287346,1393742,999378,1644513,1457798,2429142,2532577,1880007,1915420,1944417
Turkey,297862,430947,270685,346565,533354,823408,879452,987780,1099413,1147110,869605,1094557,1189131,1072339,1125534,1170445,1358796,1485927
UK,1973519,1813894,1685238,1823018,1846429,1856539,1803109,1648388,1750253,1649515,1090139,1393463,1463999,1576945,1597433,28751,1682156,1816622
Ukraine,19180,31255,31824,53773,107890,186890,215759,295260,402591,423127,69295,83133,104654,76281,50449,1598879,8244,5264
USA,13024978,12799857,11424689,12279582,12114971,11989387,11946653,11263986,10780729,8693541,5731397,7761443,8661535,10328884,11045902,11660699,12100095,12198137
Uzbekistan,44433,32273,41005,29554,46474,80729,95814,110000,184900,208038,117900,156880,179560,164180,154760,245660,185400,88152
