country,countryOfficialName,region,continent,development,isSmallIslandDeveloping,isLandLockedDeveloping,nafta,eu15,eu27,Cis
Afghanistan,Afghanistan,Southern Asia,Asia,least developed,0,1,0,0,0,0
Albania,Albania,Southern Europe,Europe,developed,0,0,0,0,0,0
Algeria,Algeria,Northern Africa,Africa,developing,0,0,0,0,0,0
American Samoa,American Samoa,Polynesia,Oceania,developing,1,0,0,0,0,0
Andorra,Andorra,Southern Europe,Europe,developed,0,0,0,0,0,0
Angola,Angola,Middle Africa,Africa,least developed,0,0,0,0,0,0
Anguilla,Anguilla,Caribbean,Americas,developing,1,0,0,0,0,0
Antigua and Barbuda,Antigua and Barbuda,Caribbean,Americas,developing,1,0,0,0,0,0
Argentina,Argentina,South America,Americas,developing,0,0,0,0,0,0
Armenia,Armenia,Western Asia,Asia,developing,0,1,0,0,0,1
Aruba,Aruba,Caribbean,Americas,developing,1,0,0,0,0,0
Australia,Australia,Australia and New Zealand,Oceania,developed,0,0,0,0,0,0
Austria,Austria,Western Europe,Europe,developed,0,0,0,1,1,0
Azerbaijan,Azerbaijan,Western Asia,Asia,developing,0,1,0,0,0,1
Bahamas,Bahamas,Caribbean,Americas,developing,1,0,0,0,0,0
Bahrain,Bahrain,Western Asia,Asia,developing,0,0,0,0,0,0
Bangladesh,Bangladesh,Southern Asia,Asia,least developed,0,0,0,0,0,0
Barbados,Barbados,Caribbean,Americas,developing,1,0,0,0,0,0
Belarus,Belarus,Eastern Europe,Europe,developed,0,0,0,0,0,1
Belgium,Belgium,Western Europe,Europe,developed,0,0,0,1,1,0
Belize,Belize,Central America,Americas,developing,1,0,0,0,0,0
Benin,Benin,Western Africa,Africa,least developed,0,0,0,0,0,0
Bermuda,Bermuda,North America,Americas,developed,0,0,0,0,0,0
Bhutan,Bhutan,Southern Asia,Asia,least developed,0,1,0,0,0,0
Bolivia,Bolivia (Plurinational State of),South America,Americas,developing,0,1,0,0,0,0
Caribbean Netherlands,"Bonaire, Saint Eustatius and Saba",Caribbean,Americas,developing,0,0,0,0,0,0
Bosnia,Bosnia and Herzegovina,Southern Europe,Europe,developed,0,0,0,0,0,0
Botswana,Botswana,Southern Africa,Africa,developing,0,1,0,0,0,0
Brazil,Brazil,South America,Americas,developing,0,0,0,0,0,0
British Virgin Islands,British Virgin Islands,Caribbean,Americas,developing,1,0,0,0,0,0
Brunei,Brunei Darussalam,South-Eastern Asia,Asia,developing,0,0,0,0,0,0
Bulgaria,Bulgaria,Eastern Europe,Europe,developed,0,0,0,0,1,0
Burkina Faso,Burkina Faso,Western Africa,Africa,least developed,0,1,0,0,0,0
Burundi,Burundi,Eastern Africa,Africa,least developed,0,1,0,0,0,0
