"region","year","sales","type"
"1 Only Lv","2005",NA,"cv"
"1 Only Lv","2006",NA,"cv"
"1 Only Lv","2007",NA,"cv"
"1 Only Lv","2008",NA,"cv"
"1 Only Lv","2009",NA,"cv"
"1 Only Lv","2010",NA,"cv"
"1 Only Lv","2011",NA,"cv"
"1 Only Lv","2012",NA,"cv"
"1 Only Lv","2013",NA,"cv"
"1 Only Lv","2014",NA,"cv"
"1 Only Lv","2015",NA,"cv"
"1 Only Lv","2016",NA,"cv"
"1 Only Lv","2017",NA,"cv"
"1 Only Lv","2018",NA,"cv"
"1 Only Lv","2019",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2005",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2006",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2007",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2008",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2009",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2010",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2011",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2012",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2013",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2014",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2015",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2016",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2017",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2018",NA,"cv"
"2 Including Heavy Trucks, Buses And Coaches","2019",NA,"cv"
"Africa","2005",784237,"pc"
"Africa","2005",328780,"cv"
"Africa","2006",926966,"pc"
"Africa","2006",387309,"cv"
"Africa","2007",939201,"pc"
"Africa","2007",382773,"cv"
"Africa","2008",889206,"pc"
"Africa","2008",366645,"cv"
"Africa","2009",827160,"pc"
"Africa","2009",331614,"cv"
"Africa","2010",908357,"pc"
"Africa","2010",342864,"cv"
"Africa","2011",1050745,"pc"
"Africa","2011",396182,"cv"
"Africa","2012",1154025,"pc"
"Africa","2012",415438,"cv"
"Africa","2013",1196833,"pc"
"Africa","2013",456754,"cv"
"Africa","2014",1246318,"pc"
"Africa","2014",471603,"cv"
"Africa","2015",1128433,"pc"
"Africa","2015",421123,"cv"
"Africa","2016",981214,"pc"
"Africa","2016",333249,"cv"
"Africa","2017",842835,"pc"
"Africa","2017",294646,"cv"
"Africa","2018",921623,"pc"
"Africa","2018",307301,"cv"
"Africa","2019",868928,"pc"
"Africa","2019",308319,"cv"
"All Countries","2005",45407298,"pc"
"All Countries","2005",20516496,"cv"
"All Countries","2006",47955259,"pc"
"All Countries","2006",20398117,"cv"
"All Countries","2007",50834531,"pc"
"All Countries","2007",20728868,"cv"
"All Countries","2008",49978237,"pc"
"All Countries","2008",18337258,"cv"
"All Countries","2009",49654985,"pc"
"All Countries","2009",15913844,"cv"
"All Countries","2010",55818570,"pc"
"All Countries","2010",19152953,"cv"
"All Countries","2011",57839953,"pc"
"All Countries","2011",20330467,"cv"
"All Countries","2012",60936407,"pc"
"All Countries","2012",21192731,"cv"
"All Countries","2013",63429200,"pc"
"All Countries","2013",22176936,"cv"
"All Countries","2014",65708230,"pc"
"All Countries","2014",22629868,"cv"
"All Countries","2015",66314155,"pc"
"All Countries","2015",23370453,"cv"
"All Countries","2016",69464431.7696822,"pc"
"All Countries","2016",24391956,"cv"
"All Countries","2017",70694834,"pc"
"All Countries","2017",24965772,"cv"
"All Countries","2018",68678212,"pc"
"All Countries","2018",26971331,"cv"
"All Countries","2019",64341693,"pc"
"All Countries","2019",27016764,"cv"
"America","2005",11618929,"pc"
"America","2005",11719925,"cv"
"America","2006",12048814,"pc"
"America","2006",11307861,"cv"
"America","2007",12522371,"pc"
"America","2007",11086694,"cv"
"America","2008",11877523,"pc"
"America","2008",9025378,"cv"
"America","2009",10280682,"pc"
"America","2009",7216363,"cv"
"America","2010",11131614,"pc"
"America","2010",8588367,"cv"
"America","2011",11947951,"pc"
"America","2011",9630088,"cv"
"America","2012",13389456,"pc"
"America","2012",10281437,"cv"
"America","2013",13819830,"pc"
"America","2013",11210175,"cv"
"America","2014",13464567,"pc"
"America","2014",12010964,"cv"
"America","2015",12664453,"pc"
"America","2015",13023706,"cv"
"America","2016",11746160,"pc"
"America","2016",13803052,"cv"
"America","2017",11283401,"pc"
"America","2017",14169953,"cv"
"America","2018",10562992,"pc"
"America","2018",15152399,"cv"
"America","2019",9540192,"pc"
"America","2019",15768984,"cv"
"Asia/Oceania/Middle East","2005",15097677,"pc"
"Asia/Oceania/Middle East","2005",5310920,"cv"
"Asia/Oceania/Middle East","2006",16293923,"pc"
"Asia/Oceania/Middle East","2006",5524663,"cv"
"Asia/Oceania/Middle East","2007",17754371,"pc"
"Asia/Oceania/Middle East","2007",5871267,"cv"
"Asia/Oceania/Middle East","2008",18389909,"pc"
"Asia/Oceania/Middle East","2008",5894404,"cv"
"Asia/Oceania/Middle East","2009",21938382,"pc"
"Asia/Oceania/Middle East","2009",6329277,"cv"
"Asia/Oceania/Middle East","2010",27278736,"pc"
"Asia/Oceania/Middle East","2010",7912897,"cv"
"Asia/Oceania/Middle East","2011",27673657,"pc"
"Asia/Oceania/Middle East","2011",7731778,"cv"
"Asia/Oceania/Middle East","2012",30201657,"pc"
"Asia/Oceania/Middle East","2012",8023947,"cv"
"Asia/Oceania/Middle East","2013",32470264,"pc"
"Asia/Oceania/Middle East","2013",8108871,"cv"
"Asia/Oceania/Middle East","2014",34843066,"pc"
"Asia/Oceania/Middle East","2014",7713930,"cv"
"Asia/Oceania/Middle East","2015",36110706,"pc"
"Asia/Oceania/Middle East","2015",7300198,"cv"
"Asia/Oceania/Middle East","2016",39445239,"pc"
"Asia/Oceania/Middle East","2016",7412645,"cv"
"Asia/Oceania/Middle East","2017",40594317,"pc"
"Asia/Oceania/Middle East","2017",7720355,"cv"
"Asia/Oceania/Middle East","2018",39283920,"pc"
"Asia/Oceania/Middle East","2018",8363201,"cv"
"Asia/Oceania/Middle East","2019",35959799,"pc"
"Asia/Oceania/Middle East","2019",8043351,"cv"
"Bulgaria1","2005",8984,"cv"
"Bulgaria1","2006",8845,"cv"
"Bulgaria1","2007",11815,"cv"
"Bulgaria1","2008",12784,"cv"
"Bulgaria1","2009",3944,"cv"
"Bulgaria1","2010",3825,"cv"
"Bulgaria1","2011",4279,"cv"
"Bulgaria1","2012",3351,"cv"
"Bulgaria1","2013",3614,"cv"
"Bulgaria1","2014",3972,"cv"
"Bulgaria1","2015",4553,"cv"
"Bulgaria1","2016",4890,"cv"
"Bulgaria1","2017",5129,"cv"
"Bulgaria1","2018",5225,"cv"
"Bulgaria1","2019",4716,"cv"
"Central & South America","2005",2397500,"pc"
"Central & South America","2005",698375,"cv"
"Central & South America","2006",2747450,"pc"
"Central & South America","2006",710201,"cv"
"Central & South America","2007",3477058,"pc"
"Central & South America","2007",830528,"cv"
"Central & South America","2008",3646651,"pc"
"Central & South America","2008",1015799,"cv"
"Central & South America","2009",3711649,"pc"
"Central & South America","2009",926045,"cv"
"Central & South America","2010",4298085,"pc"
"Central & South America","2010",1217935,"cv"
"Central & South America","2011",4584491,"pc"
"Central & South America","2011",1395934,"cv"
"Central & South America","2012",4749693,"pc"
"Central & South America","2012",1394512,"cv"
